実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
10-12.,"478,467.5 ","263,403.4 ","259,099.1 ","221,832.6 ","35,106.6 ","76,900.7 ","2,464.6 ","77,853.5 ","47,475.2 ",259.0 ,"-16,496.1 ","43,759.2 ","60,255.3 ","-8,499.3 ",,"18,453.3 ","496,920.8 ","6,173.3 ","11,667.0 ","5,493.7 ","503,094.0 ",,"500,127.6 ","376,627.7 ","123,489.0 ",,"156,269.2 ",,"475,456.2 ",,,
1997/ 1- 3.,"479,690.1 ","267,268.2 ","262,992.9 ","225,508.1 ","34,090.3 ","77,660.5 ",-355.8 ,"77,863.3 ","46,634.7 ",139.4 ,"-15,675.4 ","45,099.2 ","60,774.7 ","-7,935.1 ",,"17,905.3 ","497,595.5 ","6,690.9 ","12,382.9 ","5,692.0 ","504,286.4 ",,"500,314.3 ","377,647.6 ","122,622.6 ",,"155,441.1 ",,"479,393.2 ",,,
4- 6.,"476,018.8 ","260,235.2 ","256,040.9 ","218,417.4 ","30,911.7 ","77,803.8 ","2,476.8 ","78,052.8 ","46,674.4 ",79.0 ,"-12,734.5 ","47,011.6 ","59,746.1 ","-7,480.6 ",,"18,272.5 ","494,291.3 ","6,778.4 ","12,349.2 ","5,570.8 ","501,069.7 ",,"493,553.1 ","370,785.8 ","122,807.6 ",,"152,825.4 ",,"473,137.7 ",,,
7- 9.,"477,004.9 ","260,611.8 ","256,487.6 ","218,697.4 ","29,063.5 ","78,230.0 ","4,545.5 ","77,975.5 ","47,117.9 ",164.4 ,"-13,216.4 ","46,382.8 ","59,599.2 ","-7,487.3 ",,"18,321.9 ","495,326.8 ","5,911.8 ","11,630.9 ","5,719.1 ","501,238.5 ",,"495,159.9 ","371,984.8 ","123,217.8 ",,"152,042.8 ",,"472,135.7 ",,,
10-12.,"477,205.4 ","260,113.3 ","255,894.6 ","217,945.0 ","27,891.6 ","79,911.8 ","3,757.9 ","78,392.3 ","44,815.4 ",457.1 ,"-10,849.4 ","47,395.7 ","58,245.1 ","-7,284.7 ",,"19,005.3 ","496,210.7 ","7,026.6 ","13,230.6 ","6,204.0 ","503,237.3 ",,"493,213.3 ","371,483.6 ","121,727.9 ",,"150,739.2 ",,"472,850.5 ",,,
1998/ 1- 3.,"471,375.5 ","259,753.1 ","255,283.1 ","217,167.4 ","27,185.8 ","78,679.2 ","3,511.3 ","78,280.3 ","42,235.2 ",242.4 ,"-11,533.6 ","46,178.3 ","57,711.9 ","-6,978.1 ",,"19,765.7 ","491,141.2 ","6,626.8 ","12,470.5 ","5,843.7 ","497,768.0 ",,"488,015.3 ","368,930.4 ","119,020.0 ",,"146,439.7 ",,"467,422.2 ",,,
4- 6.,"469,288.8 ","259,502.7 ","254,748.9 ","216,474.4 ","26,659.2 ","77,937.9 ","1,599.7 ","78,886.6 ","41,862.3 ",172.5 ,"-9,905.8 ","45,262.0 ","55,167.7 ","-7,426.5 ",,"19,527.9 ","488,816.6 ","5,622.9 ","11,722.8 ","6,099.8 ","494,439.6 ",,"484,830.9 ","365,582.0 ","119,225.6 ",,"144,825.7 ",,"467,155.4 ",,,
7- 9.,"470,145.7 ","261,363.3 ","256,397.6 ","217,939.3 ","26,054.0 ","77,402.5 ",-403.9 ,"79,314.1 ","43,803.4 ",-81.8 ,"-9,826.6 ","45,432.3 ","55,258.9 ","-7,479.4 ",,"19,071.4 ","489,217.1 ","6,361.4 ","11,836.7 ","5,475.2 ","495,578.5 ",,"485,609.7 ","364,401.3 ","121,265.5 ",,"145,456.8 ",,"470,050.5 ",,,
10-12.,"473,941.1 ","260,989.0 ","255,878.2 ","217,252.8 ","25,483.3 ","75,354.6 ","2,429.1 ","79,869.9 ","48,307.0 ",-601.5 ,"-9,331.8 ","44,607.7 ","53,939.4 ","-8,558.4 ",,"19,522.9 ","493,464.0 ","5,791.5 ","10,091.0 ","4,299.6 ","499,255.5 ",,"489,480.2 ","364,068.6 ","125,616.8 ",,"146,825.0 ",,"471,619.7 ",,,
1999/ 1- 3.,"467,414.3 ","261,991.3 ","256,805.7 ","217,953.7 ","25,239.8 ","73,232.5 ","-3,512.9 ","80,735.8 ","48,490.9 ",-88.0 ,"-10,892.6 ","44,707.8 ","55,600.4 ","-7,782.5 ",,"20,445.1 ","487,859.4 ","5,156.5 ","9,860.5 ","4,704.0 ","493,015.9 ",,"483,805.6 ","357,083.7 ","127,063.9 ",,"144,506.0 ",,"470,065.5 ",,,
