é¿éøãGêﬂí≤êÆånóÒ,çëì‡ëçê∂éY(éxèoë§),ñØä‘ç≈èIè¡îÔéxèo,â∆åvç≈èIè¡îÔéxèo,èúÇ≠éùÇøâ∆ÇÃãAëÆâ∆í¿,ñØä‘èZëÓ,ñØä‘äÈã∆ê›îı,ñØä‘ç›å…ïœìÆ,ê≠ï{ç≈èIè¡îÔéxèo,åˆìIå≈íËéëñ{å`ê¨,åˆìIç›å…ïœìÆ,èÉóAèo,óAèo,óAì¸,äJç∑,åà’óòìæ,çëì‡ëçèäìæ,èÉéÛéÊ,éÛéÊ,éxï•,çëñØëçèäìæ,çëì‡é˘óv,ñØä‘é˘óv,åˆìIé˘óv,ëçå≈íËéëñ{å`ê¨,ç≈èIé˘óv
2013/ 1- 3.,"522,601.20","301,261.80","294,230.70","245,547.50","20,303.40","77,475.30",330,"101,507.90","25,846.70",-133.2,"-4,374.00","81,201.40","85,575.40",383.2,"-6,019.00","516,582.30","15,966.50","21,123.80","5,157.30","532,548.70","526,526.10","399,313.70","127,221.20","123,601.20","522,504.00"
4- 6.,"527,330.10","303,505.30","296,440.50","247,587.30","20,476.00","80,132.30","-2,388.70","102,869.00","26,788.70",42.3,"-4,385.10","83,949.00","88,334.10",290.3,"-5,511.80","521,818.30","19,817.70","25,780.20","5,962.60","541,636.00","531,366.60","401,642.80","129,724.90","127,383.50","529,777.70"
7- 9.,"532,383.90","305,090.40","297,957.00","248,910.30","21,278.90","81,276.20",-476.2,"102,879.90","28,273.40",-85,"-6,168.60","83,853.70","90,022.30",314.9,"-5,857.80","526,526.10","17,892.40","24,642.60","6,750.20","544,418.50","538,109.30","407,098.30","131,014.10","130,784.80","533,033.40"
10-12.,"531,773.70","304,568.20","297,508.30","248,339.80","22,031.80","81,864.10",55.1,"103,108.30","28,765.80",80.1,"-9,101.80","83,544.30","92,646.10",401.9,"-7,273.10","524,500.60","18,109.30","24,465.70","6,356.40","542,609.90","540,376.00","408,441.40","131,935.60","132,601.50","531,660.30"
2014/ 1- 3.,"536,107.10","310,676.40","303,838.90","254,678.60","22,345.30","83,958.50","-2,344.90","103,414.50","28,110.10",69.2,"-9,947.40","88,641.60","98,589.00",-174.5,"-8,731.40","527,375.70","18,016.90","25,350.60","7,333.80","545,392.50","546,073.80","414,483.10","131,599.10","134,381.20","538,521.60"
4- 6.,"526,358.90","295,356.50","288,852.90","239,545.50","20,442.90","82,291.00","2,512.80","103,090.10","27,080.30",93.6,"-4,628.70","89,825.30","94,454.00",120.3,"-7,319.40","519,039.50","17,979.40","25,580.90","7,601.50","537,018.80","530,986.30","400,676.00","130,308.90","129,811.70","523,622.20"
7- 9.,"526,822.50","297,890.60","291,657.40","242,362.70","19,409.90","82,787.00",-101.8,"103,765.80","27,888.40",140.4,"-4,855.90","91,196.20","96,052.10",-101.8,"-7,486.90","519,335.60","19,833.70","27,611.40","7,777.70","539,169.30","531,838.40","399,982.20","131,849.70","130,088.50","526,760.20"
10-12.,"529,340.00","298,452.10","292,215.00","242,902.90","19,452.10","83,410.60","-1,362.80","104,017.60","28,063.10",8.7,"-2,477.10","93,911.60","96,388.70",-224.2,"-6,421.10","522,919.00","22,412.90","30,771.80","8,358.90","545,331.80","532,000.30","399,902.40","132,091.10","130,927.80","530,785.90"
2015/ 1- 3.,"537,515.20","300,038.90","293,532.10","244,194.80","19,968.80","87,584.20",30.9,"105,001.30","26,736.10",81.9,"-1,856.40","95,315.80","97,172.20",-70.4,"-1,783.30","535,731.90","20,207.70","28,580.60","8,372.90","555,939.60","539,458.00","407,599.20","131,857.70","134,293.60","537,405.80"
4- 6.,"538,260.50","300,267.80","293,471.50","244,112.90","20,354.90","86,423.20","2,481.70","105,133.90","26,462.00",-75,"-2,953.90","92,084.60","95,038.50",165.9,-326.8,"537,933.70","21,483.00","29,977.50","8,494.40","559,416.70","541,077.10","409,569.00","131,509.50","133,240.20","535,806.50"
7- 9.,"538,675.00","301,047.20","294,068.50","244,697.20","20,457.00","87,618.00",972.3,"105,622.00","26,518.30",-101.2,"-3,376.10","94,386.10","97,762.20",-82.5,766.5,"539,441.50","21,114.30","30,239.10","9,124.70","560,555.80","542,106.80","410,087.40","132,020.90","134,592.20","537,831.20"
10-12.,"537,954.40","299,086.10","291,975.10","242,577.50","20,438.30","87,447.40","1,007.40","106,483.50","27,206.90",-70,"-3,632.40","93,511.20","97,143.60",-13,"1,417.50","539,371.80","22,064.60","31,457.00","9,392.40","561,436.40","541,581.90","407,968.60","133,611.50","135,089.10","537,033.50"
2016/ 1- 3.,"541,886.70","299,373.40","292,182.10","242,756.00","20,435.10","86,889.90","1,206.90","107,761.60","27,963.70",4.9,"-1,747.50","94,176.50","95,924.00",-1.1,"5,620.40","547,507.20","20,259.60","29,453.80","9,194.20","567,766.80","543,617.10","407,891.30","135,724.90","135,286.90","540,695.30"
4- 6.,"541,087.90","297,516.60","290,212.00","240,763.80","21,021.40","87,091.80","2,926.90","106,852.30","27,082.50",-199.1,"-1,208.50","93,547.60","94,756.10",4,"5,819.30","546,907.30","19,127.70","28,873.80","9,746.10","566,035.00","542,281.30","408,547.00","133,734.20","135,195.30","538,373.80"
7- 9.,"541,935.10","298,528.20","291,094.50","241,628.10","21,380.10","87,524.20",171.6,"107,219.70","27,227.70",-268,149.5,"95,455.30","95,305.80",2.2,"5,660.30","547,595.40","18,395.10","28,456.40","10,061.30","565,990.50","541,787.00","407,606.10","134,181.20","136,132.70","542,028.40"
10-12.,"542,964.60","299,295.70","291,804.40","242,314.80","21,499.20","88,104.30","-1,476.60","107,187.40","27,242.40",-334.2,"1,452.70","97,959.40","96,506.70",-6.3,"3,885.00","546,849.60","18,564.20","28,616.70","10,052.50","565,413.80","541,544.10","407,443.90","134,100.60","136,847.30","544,744.70"
2017/ 1- 3.,"547,352.50","301,242.10","293,780.70","244,262.30","21,291.30","88,375.60",-504.3,"107,496.10","27,458.10",-294.2,"2,405.30","100,082.30","97,677.00",-117.5,"1,424.40","548,776.90","20,967.50","31,406.90","10,439.40","569,744.40","545,081.30","410,418.70","134,663.30","137,126.00","548,130.70"
4- 6.,"549,477.70","302,644.20","295,164.40","245,621.30","21,499.90","89,156.10",74.5,"107,052.50","27,725.40",88.4,"1,303.10","100,014.60","98,711.50",-66.4,"1,638.70","551,116.40","19,716.50","30,348.30","10,631.80","570,832.90","548,219.20","413,388.40","134,832.40","138,382.10","549,329.00"
7- 9.,"553,506.50","301,340.60","293,794.90","244,230.80","21,321.30","90,014.10","2,405.00","107,420.40","27,277.90",86.9,"4,073.90","102,168.60","98,094.70",-433.5,"2,877.20","556,383.60","21,139.50","31,514.20","10,374.70","577,523.10","549,778.30","415,022.00","134,758.50","138,611.60","551,105.60"
10-12.,"554,538.80","302,397.00","294,931.50","245,344.50","20,702.20","90,441.70","3,091.90","107,340.70","27,317.20",92.5,"3,424.80","104,154.50","100,729.70",-269.2,304.3,"554,843.10","20,441.50","31,442.10","11,000.60","575,284.60","551,287.20","416,562.10","134,727.90","138,455.10","551,453.70"
2018/ 1- 3.,"555,199.00","302,668.50","295,439.00","245,828.50","20,205.60","91,276.40","1,492.50","108,188.30","27,496.60",62.1,"4,059.40","105,445.30","101,385.90",-250.3,-657.1,"554,541.90","19,938.70","31,854.60","11,915.90","574,480.60","551,316.60","415,590.20","135,728.00","138,962.20","553,705.10"
4- 6.,"557,024.50","302,882.90","295,999.20","246,365.30","19,572.80","92,243.90","1,793.00","108,270.60","28,070.60",-49.6,"4,523.30","106,178.50","101,655.20",-282.9,"-2,063.40","554,961.10","21,578.70","33,370.30","11,791.70","576,539.70","552,703.20","416,432.50","136,271.90","139,860.90","555,339.00"
7- 9.,"552,593.40","302,304.50","295,705.90","246,051.70","19,619.10","89,732.80","2,154.80","108,291.90","27,712.10",-20.3,"3,023.10","104,294.50","101,271.40",-224.4,"-3,483.90","549,109.50","21,388.30","33,347.40","11,959.10","570,497.80","549,723.70","413,759.90","135,964.40","137,044.80","550,511.60"
10-12.,"552,691.80","302,196.10","295,604.50","245,927.90","19,940.60","91,498.60","3,079.30","108,886.00","27,206.30",-43.1,14.3,"105,805.80","105,791.60",-86.3,"-4,834.70","547,857.10","21,975.40","34,251.60","12,276.20","569,832.60","552,675.30","416,653.40","136,023.30","138,618.10","549,718.70"
2019/ 1- 3.,"554,879.10","302,651.60","295,790.00","246,088.40","20,458.30","91,785.30","1,600.50","109,305.40","27,752.90",-162.7,"1,602.20","103,822.30","102,220.10",-114.4,"-1,608.80","553,270.30","21,539.40","33,486.20","11,946.80","574,809.70","553,298.50","416,449.80","136,849.90","139,979.90","553,529.60"
4- 6.,"557,287.70","302,731.80","295,692.40","245,969.60","20,738.40","91,924.80","3,330.10","110,334.30","27,859.70",-33.5,517.2,"103,884.50","103,367.30",-115,"-2,656.40","554,631.30","21,866.10","34,182.90","12,316.80","576,497.50","556,809.40","418,678.20","138,132.30","140,511.00","554,054.10"
7- 9.,"556,643.70","304,006.60","296,898.00","247,150.20","20,892.40","94,054.10",265.7,"111,108.10","28,253.40",-61.1,"-1,768.00","104,095.80","105,863.80",-107.4,"-1,941.70","554,702.00","22,029.40","34,893.70","12,864.30","576,731.40","558,449.70","419,183.30","139,267.70","143,181.50","556,508.30"
10-12.,"543,336.20","294,352.10","286,945.80","237,233.10","20,510.90","87,457.50",947.2,"111,195.30","28,257.10",33.2,758.1,"103,838.60","103,080.50",-175.2,"-1,910.40","541,425.80","20,892.60","33,278.10","12,385.60","562,318.40","542,717.30","403,250.20","139,468.60","136,250.20","542,403.20"
2020/ 1- 3.,"545,000.20","296,103.30","288,171.60","238,434.30","19,508.40","89,812.40",684.4,"111,332.60","27,979.30",23.8,-402.9,"99,086.30","99,489.20",-41.2,-968.4,"544,031.80","21,204.40","32,603.50","11,399.10","565,236.20","545,373.50","406,065.10","139,310.10","137,280.70","544,332.20"
4- 6.,"501,140.40","270,268.30","261,688.80","212,118.50","19,494.60","83,560.30","2,691.00","111,734.30","29,173.30",-36.1,"-16,830.00","81,108.70","97,938.70","1,084.60","4,539.10","505,679.50","17,783.00","28,073.00","10,290.00","523,462.40","516,831.30","375,972.50","140,863.00","132,293.10","498,570.30"
7- 9.,"526,742.10","283,909.90","274,768.60","225,093.90","18,558.70","83,247.20",241.2,"114,053.80","29,652.10",-2.9,"-3,225.80","88,125.20","91,351.00",307.8,"4,419.30","531,161.40","18,249.10","28,662.20","10,413.10","549,410.50","529,627.30","385,935.00","143,696.70","131,516.50","526,534.10"
10-12.,"538,909.20","290,316.00","280,917.50","231,181.10","18,565.90","84,239.50",-860.2,"114,999.00","29,838.50",-69.1,"1,993.10","97,948.60","95,955.50",-113.4,"4,274.50","543,183.70","19,583.00","28,958.40","9,375.40","562,766.70","537,003.00","392,256.70","144,750.60","132,696.80","539,856.70"
2021/ 1- 3.,"535,012.50","287,141.20","277,795.00","228,063.00","18,733.80","84,587.00",-248.8,"114,279.20","29,385.50",-19.3,"1,107.90","100,155.40","99,047.50",46,"1,082.00","536,094.50","20,104.70","30,266.40","10,161.70","556,199.20","533,793.00","390,180.20","143,615.70","132,749.40","535,336.70"
4- 6.,"537,631.00","288,839.00","279,559.50","229,792.50","18,921.90","86,311.20",-131,"115,090.40","28,624.50",-33.2,-229.1,"102,669.00","102,898.10",237.4,"-1,353.90","536,277.10","20,521.90","30,995.70","10,473.80","556,799.00","537,516.10","393,894.60","143,619.50","133,864.80","537,857.40"
7- 9.,"532,777.90","285,101.60","275,771.60","226,020.00","18,622.60","84,335.30",421.4,"116,258.60","28,049.30",-87,-79.5,"101,760.10","101,839.60",155.6,"-4,779.90","527,998.00","20,306.90","30,278.90","9,972.00","548,304.90","532,534.80","388,410.30","144,131.70","131,020.20","532,533.00"
